MKB_CODE,RECOMMENDATIONS
C25.1,Цитология эндоскопического материала$Сывороточное железо$Общий анализ мочи$Общий анализ крови$Коагулограмма$Проведение пробы с лекарственными препаратами$Антропометрия с расчетом ИМТ$$Эндосонография поджелудочной железы$Эндосонография желчных путей$Эндосонография 12-перстной кишки$КТ лимфатических узлов$Биопсия поджелудочной железы$Химиотерапия опухолей$Лечебная физкультура (ЛФК)$Антропометрические исследования$Измерение объема лимфоузлов
C25.2,Цитология эндоскопического материала$Сывороточное железо$Общий анализ мочи$Общий анализ крови$Коагулограмма$Проведение пробы с лекарственными препаратами$Антропометрия с расчетом ИМТ$$Эндосонография поджелудочной железы$Эндосонография желчных путей$Эндосонография 12-перстной кишки$КТ лимфатических узлов$Биопсия поджелудочной железы$Химиотерапия опухолей$Лечебная физкультура (ЛФК)$Антропометрические исследования$Измерение объема лимфоузлов
C25.3,Цитология эндоскопического материала$Сывороточное железо$Общий анализ мочи$Общий анализ крови$Коагулограмма$Проведение пробы с лекарственными препаратами$Антропометрия с расчетом ИМТ$$Эндосонография поджелудочной железы$Эндосонография желчных путей$Эндосонография 12-перстной кишки$КТ лимфатических узлов$Биопсия поджелудочной железы$Химиотерапия опухолей$Лечебная физкультура (ЛФК)$Антропометрические исследования$Измерение объема лимфоузлов
C25.4,
C25.7,Цитология эндоскопического материала$Сывороточное железо$Общий анализ мочи$Общий анализ крови$Коагулограмма$Проведение пробы с лекарственными препаратами$Антропометрия с расчетом ИМТ$$Эндосонография поджелудочной железы$Эндосонография желчных путей$Эндосонография 12-перстной кишки$КТ лимфатических узлов$Биопсия поджелудочной железы$Химиотерапия опухолей$Лечебная физкультура (ЛФК)$Антропометрические исследования$Измерение объема лимфоузлов
C25.8,Цитология эндоскопического материала$Сывороточное железо$Общий анализ мочи$Общий анализ крови$Коагулограмма$Проведение пробы с лекарственными препаратами$Антропометрия с расчетом ИМТ$$Эндосонография поджелудочной железы$Эндосонография желчных путей$Эндосонография 12-перстной кишки$КТ лимфатических узлов$Биопсия поджелудочной железы$Химиотерапия опухолей$Лечебная физкультура (ЛФК)$Антропометрические исследования$Измерение объема лимфоузлов
C25.9,
C26.0,
C26.1,
C30.1,
C32.1,
C34.0,Фибриноген крови$Общий анализ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$Рентгенография легких$КТ легких$Тейпирование$Сегментарный массаж$Массаж грудной клетки$Иммунохимиотерапия$Дистанционная лучевая терапия$Измерение роста$Измерение объема лимфоузлов$Пункция средостения$Однофотонная эмиссионная компьютерная томография костей$Постановка функционального диагноза
C34.1,
C34.2,Фибриноген крови$Общий анализ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$Рентгенография легких$КТ легких$Тейпирование$Сегментарный массаж$Массаж грудной клетки$Иммунохимиотерапия$Дистанционная лучевая терапия$Измерение роста$Измерение объема лимфоузлов$Пункция средостения$Однофотонная эмиссионная компьютерная томография костей$Постановка функционального диагноза
C34.3,Фибриноген крови$Общий анализ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$Рентгенография легких$КТ легких$Тейпирование$Сегментарный массаж$Массаж грудной клетки$Иммунохимиотерапия$Дистанционная лучевая терапия$Измерение роста$Измерение объема лимфоузлов$Пункция средостения$Однофотонная эмиссионная компьютерная томография костей$Постановка функционального диагноза
C34.8,Фибриноген крови$Общий анализ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$Рентгенография легких$КТ легких$Тейпирование$Сегментарный массаж$Массаж грудной клетки$Иммунохимиотерапия$Дистанционная лучевая терапия$Измерение роста$Измерение объема лимфоузлов$Пункция средостения$Однофотонная эмиссионная компьютерная томография костей$Постановка функционального диагноза
C34.9,
C38.1,Консультация психотерапевта$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$Электрокардиография (ЭКГ)$Сцинтиграфия костей скелета$Рентгенография легких$МРТ головного мозга$Химиотерапия$Исследование мышц$Антропометрические исследования$Измерение массы тела$Измерение роста$Измерение объема лимфоузлов
C38.2,Консультация онколога$Цитология пунктата лимфоузлов$Гистологическое исследование операционного материала$Тонкоигольная биопсия$Сцинтиграфия костей скелета$МРТ головного мозга$КТ органов малого таза$КТ головного мозга$Химиотерапия$Лечебная физкультура (ЛФК)$Дистанционная лучевая терапия$Брахитерапия$Пункция средостения
C38.3,Консультация онколога$Цитология пунктата лимфоузлов$Гистологическое исследование операционного материала$Тонкоигольная биопсия$Сцинтиграфия костей скелета$МРТ головного мозга$КТ органов малого таза$КТ головного мозга$Химиотерапия$Лечебная физкультура (ЛФК)$Дистанционная лучевая терапия$Брахитерапия$Пункция средостения
C38.4,"Консультация пульмонолога$$$$$$Консультация отоларинголога$$Консультация ортопеда$$Консультация психотерапевта$Консультация онколога$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Щелочная фосфатаза крови$Фибриноген крови$СОЭ$Общий белок крови$Общий анализ мочи$Общий анализ крови$Натрий крови$Мочевина крови$Креатинин крови$Коагулограмма$Билирубин общий$Амилаза крови$АЧТВ$АСТ крови$АЛТ крови$СМАД$$Измерение АД$$Термометрия$$Электрокардиография (ЭКГ)$Флюорография$УЗИ плевральной полости$УЗИ лимфатических узлов$Суточный мониторинг по Холтеру$Спирометрия$Рентгенография грудной клетки$Ларингоскопия$КТ легких$Исследование функции внешнего дыхания$Биопсия легкого$Суточное наблюдение реанимационного пациента$Плеврэктомия с декортикацией легкого$Перевязка послеоперационная$Наложение эластичного бинта$Медиастинальная лимфаденэктомия$Катетеризация мочевого пузыря у мужчин$Искусственная вентиляция легких$Интубация трахеи$Психотерапия$Очистительная клизма$Лекарственная ингаляция$Классический общий массаж$Внутривенная инъекция$Уход за полостью рта тяжелобольного пациента в условиях реанимации и интенсивной терапии$Обучение членов семьи пациента технике перемещения и/или размещения в постели$Обучение пациента самопомощи при перемещении в постели и/или кресле$Оценка интенсивности боли$Уход за цистостомой и уростомой$Бритье кожи предоперационное или поврежденного участка$Респираторная терапия$Обучение самоуходу$Уход за сосудистым катетером$Визуальное исследование при заболеваниях легких и бронхов$Суточное мониторирование артериального давления$Измерение роста$Измерение частоты дыхания$Измерение частоты сердцебиения$Измерение артериального давления на периферических артериях$Определение степени открывания рта и ограничения подвижности нижней челюсти$Осмотр верхних дыхательных путей с использованием дополнительных источников света, шпателя и зеркал$Исследование пульса$Измерение массы тела$Термометрия общая$Аускультация при заболеваниях легких и бронхов$Перкуссия при заболеваниях легких и бронхов$Сбор анамнеза и жалоб при заболеваниях легких и бронхов$Пальпация при заболеваниях легких и бронхов$Подкожная инъекция$Внутримышечная инъекция$Взятие крови из пальца$Взятие крови из периферической вены$Катетеризация кубитальной и других периферических вен$Катетеризация подключичной и других центральных вен$Эндотрахеальное введение лекарственных препаратов$Применение пузыря со льдом"
C38.8,Консультация радиолога$ХГЧ (хорионический гонадотропин человека)$Общий анализ крови$ЛДГ крови$Антропометрия с расчетом ИМТ$$МРТ головы$МРТ головного мозга$КТ легких$КТ головного мозга$КТ брюшной полости$Чрескожная электронейростимуляция$Химиотерапия опухолей$Медико-психологическая помощь$Локальное облучение лимфоузлов$Лечебная физкультура (ЛФК)$Акупунктура (иглоукалывание)$Респираторная терапия$Антропометрические исследования$Измерение объема лимфоузлов
C40.0,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C40.1,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C40.2,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C40.3,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C40.8,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C40.9,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.0,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.1,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.2,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.3,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.4,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.8,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C41.9,Консультация хирурга$Консультация терапевта$Консультация стоматолога$Консультация радиолога$Консультация отоларинголога$Консультация невролога$Консультация кардиолога$Общий белок крови$Мочевина крови$ЛДГ крови$Креатинин крови$Билирубин общий$АСТ крови$АЛТ крови$УЗИ лимфатических узлов$Сцинтиграфия костей скелета$Рентгенография костей и суставов$Биопсия мышцы и фасции$Химиотерапия$Лучевая терапия
C43.0,
C43.1,"Консультация офтальмолога$$$$$Консультация стоматолога$Консультация отоларинголога$Консультация онколога$Консультация анестезиолога-реаниматолога$Подготовка к операции$$Общий анализ крови$Исследования мочи$Гистология биоптата орбиты$Гониоциклоскопия со склерокомпрессией$Диафаноскопия глаза$$$Прямая офтальмоскопия$$Обратная офтальмоскопия$$Проверка остроты зрения$$Периметрия глаза$$Термометрия$$Измерение внутриглазного давления$$Электронная тонография глаза$Ультразвуковая биометрия глаза$УЗИ глаза$Компьютерная рефрактометрия$Компьютерная кератометрия$Биомикроскопия глаза$Биомикроскопия глазного дна$Комплекс исследований предоперационный для проведения планового оперативного вмешательства$Ретробульбарная инъекция$Перевязка послеоперационная$Искусственная вентиляция легких$Наложение монокулярной и бинокулярной повязки (наклейки, занавески) на глазницу$Дистанционная лучевая терапия$Транспортировка тяжелобольного пациента внутри учреждения$Холод на область глазницы$Офтальмоскопия$Сбор анамнеза и жалоб при патологии глаза$Визуальное исследование глаз$Пальпация при патологии глаз$Исследование сред глаза в проходящем свете$Визометрия$Процедуры сестринского ухода при подготовке пациента к операции$Пупилометрия$Офтальмотонометрия$Диафаноскопия глаза$Термометрия общая$Периметрия статическая$Исследование переднего сегмента глаза методом бокового освещения$Внутримышечная инъекция$Взятие крови из пальца$Взятие крови из периферической вены"
C43.2,
C43.3,
C43.4,
C43.5,
C43.6,
C43.7,
C43.8,
C43.9,
C44.1,"Консультация офтальмолога$$$$$Консультация стоматолога$Консультация отоларинголога$Консультация онколога$Консультация анестезиолога-реаниматолога$Подготовка к операции$$Общий анализ крови$Исследования мочи$Гистология биоптата орбиты$Гониоциклоскопия со склерокомпрессией$Диафаноскопия глаза$$$Прямая офтальмоскопия$$Обратная офтальмоскопия$$Проверка остроты зрения$$Периметрия глаза$$Термометрия$$Измерение внутриглазного давления$$Электронная тонография глаза$Ультразвуковая биометрия глаза$УЗИ глаза$Компьютерная рефрактометрия$Компьютерная кератометрия$Биомикроскопия глаза$Биомикроскопия глазного дна$Комплекс исследований предоперационный для проведения планового оперативного вмешательства$Ретробульбарная инъекция$Перевязка послеоперационная$Искусственная вентиляция легких$Наложение монокулярной и бинокулярной повязки (наклейки, занавески) на глазницу$Дистанционная лучевая терапия$Транспортировка тяжелобольного пациента внутри учреждения$Холод на область глазницы$Офтальмоскопия$Сбор анамнеза и жалоб при патологии глаза$Визуальное исследование глаз$Пальпация при патологии глаз$Исследование сред глаза в проходящем свете$Визометрия$Процедуры сестринского ухода при подготовке пациента к операции$Пупилометрия$Офтальмотонометрия$Диафаноскопия глаза$Термометрия общая$Периметрия статическая$Исследование переднего сегмента глаза методом бокового освещения$Внутримышечная инъекция$Взятие крови из пальца$Взятие крови из периферической вены"
C44.5,Специалисты диагностических отделений$Консультация эндокринолога$Консультация терапевта$Консультация радиолога$Консультация онколога$Консультация невролога$Консультация кардиолога$Цитология пунктата лимфоузлов$Онкоцитология шейки матки (пап-тест)$Гистология биоптата толстой и прямой кишки$Врач скорой помощи$Антропометрия с расчетом ИМТ$$УЗИ прямой кишки ректальным датчиком$УЗИ лимфатических узлов$МРТ прямой кишки$МРТ органов малого таза$МРТ лимфатических узлов$КТ органов малого таза$Химиотерапия$Локальное облучение лимфоузлов$Лечебная физкультура (ЛФК)$Дистанционная лучевая терапия$Внутриполостная брахитерапия$Сбор анамнеза и жалоб терапевтический$Измерение объема лимфоузлов$Антропометрические исследования$Онкологический скрининг для женщин
C44.9,"Консультация радиолога$Консультация онколога$Консультация анестезиолога-реаниматолога$Цитология пунктата лимфоузлов$Цитология мазка-отпечатка кожного новообразования$Общий анализ крови$Иммуногистохимическое исследование материала$УЗИ лимфатических узлов$МРТ головного мозга$КТ органов грудной полости$КТ органов брюшной полости$Подмышечная лимфаденэктомия$Иссечение новообразований кожи$Иссечение новообразований мягких тканей (с определением 'сторожевого' лимфатического узла)$Дистанционная лучевая терапия$Позитронная эмиссионная томография, совмещенная с компьютерной томографией с туморотропными РФП"
C45.0,Цитология мазка-отпечатка кожного новообразования$Общий анализ мочи$ЛДГ крови$Коагулограмма$Иммуногистохимическое исследование материала$Сцинтиграфия костей скелета$МРТ грудной клетки$МРТ головы$Контрастирование при КТ$КТ средостения$КТ лимфатических узлов$КТ головного мозга$Химиотерапия$Сцинтиграфия головного мозга
C45.1,Цитология мазка-отпечатка кожного новообразования$Общий анализ мочи$ЛДГ крови$Коагулограмма$Иммуногистохимическое исследование материала$Сцинтиграфия костей скелета$МРТ грудной клетки$МРТ головы$Контрастирование при КТ$КТ средостения$КТ лимфатических узлов$КТ головного мозга$Химиотерапия$Сцинтиграфия головного мозга
C45.2,Цитология мазка-отпечатка кожного новообразования$Общий анализ мочи$ЛДГ крови$Коагулограмма$Иммуногистохимическое исследование материала$Сцинтиграфия костей скелета$МРТ грудной клетки$МРТ головы$Контрастирование при КТ$КТ средостения$КТ лимфатических узлов$КТ головного мозга$Химиотерапия$Сцинтиграфия головного мозга
C46.0,Консультация стоматолога$$Консультация пульмонолога$Консультация отоларинголога$Консультация гастроэнтеролога$Полимеразная цепная реакция (ПЦР-диагностика)$Гистология удаленного новообразования кожи$Лучевая терапия$Сбор анамнеза и жалоб при патологии полости рта
C46.1,
C46.7,
C46.9,
C47.3,Консультация хирурга$Консультация радиолога$Консультация офтальмолога$Консультация ортопеда$Консультация невролога$Консультация анестезиолога-реаниматолога$СОЭ$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$УЗИ органов брюшной полости$Сцинтиграфия костей скелета$Рентгенография легких$ПЭТ-КТ всего тела$МРТ позвоночника$Биопсия лимфатического узла$Химиотерапия опухолей$Дистанционная лучевая терапия$Измерение массы тела$Измерение роста$Определение окружности живота$Измерение объема лимфоузлов$Антропометрические исследования$Исследование зрительной функции у детей$Аудиометрия ребенку$Однофотонная эмиссионная компьютерная томография надпочечников$Постановка функционального диагноза$Сцинтиграфия головного мозга
C47.4,Консультация хирурга$Консультация радиолога$Консультация офтальмолога$Консультация ортопеда$Консультация невролога$Консультация анестезиолога-реаниматолога$СОЭ$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$УЗИ органов брюшной полости$Сцинтиграфия костей скелета$Рентгенография легких$ПЭТ-КТ всего тела$МРТ позвоночника$Биопсия лимфатического узла$Химиотерапия опухолей$Дистанционная лучевая терапия$Измерение массы тела$Измерение роста$Определение окружности живота$Измерение объема лимфоузлов$Антропометрические исследования$Исследование зрительной функции у детей$Аудиометрия ребенку$Однофотонная эмиссионная компьютерная томография надпочечников$Постановка функционального диагноза$Сцинтиграфия головного мозга
C47.5,Консультация хирурга$Консультация радиолога$Консультация офтальмолога$Консультация ортопеда$Консультация невролога$Консультация анестезиолога-реаниматолога$СОЭ$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$УЗИ органов брюшной полости$Сцинтиграфия костей скелета$Рентгенография легких$ПЭТ-КТ всего тела$МРТ позвоночника$Биопсия лимфатического узла$Химиотерапия опухолей$Дистанционная лучевая терапия$Измерение массы тела$Измерение роста$Определение окружности живота$Измерение объема лимфоузлов$Антропометрические исследования$Исследование зрительной функции у детей$Аудиометрия ребенку$Однофотонная эмиссионная компьютерная томография надпочечников$Постановка функционального диагноза$Сцинтиграфия головного мозга
C47.6,Консультация хирурга$Консультация радиолога$Консультация офтальмолога$Консультация ортопеда$Консультация невролога$Консультация анестезиолога-реаниматолога$СОЭ$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$УЗИ органов брюшной полости$Сцинтиграфия костей скелета$Рентгенография легких$ПЭТ-КТ всего тела$МРТ позвоночника$Биопсия лимфатического узла$Химиотерапия опухолей$Дистанционная лучевая терапия$Измерение массы тела$Измерение роста$Определение окружности живота$Измерение объема лимфоузлов$Антропометрические исследования$Исследование зрительной функции у детей$Аудиометрия ребенку$Однофотонная эмиссионная компьютерная томография надпочечников$Постановка функционального диагноза$Сцинтиграфия головного мозга
C47.8,Консультация хирурга$Консультация радиолога$Консультация офтальмолога$Консультация ортопеда$Консультация невролога$Консультация анестезиолога-реаниматолога$СОЭ$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$УЗИ органов брюшной полости$Сцинтиграфия костей скелета$Рентгенография легких$ПЭТ-КТ всего тела$МРТ позвоночника$Биопсия лимфатического узла$Химиотерапия опухолей$Дистанционная лучевая терапия$Измерение массы тела$Измерение роста$Определение окружности живота$Измерение объема лимфоузлов$Антропометрические исследования$Исследование зрительной функции у детей$Аудиометрия ребенку$Однофотонная эмиссионная компьютерная томография надпочечников$Постановка функционального диагноза$Сцинтиграфия головного мозга
C47.9,Консультация хирурга$Консультация радиолога$Консультация офтальмолога$Консультация ортопеда$Консультация невролога$Консультация анестезиолога-реаниматолога$СОЭ$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$УЗИ органов брюшной полости$Сцинтиграфия костей скелета$Рентгенография легких$ПЭТ-КТ всего тела$МРТ позвоночника$Биопсия лимфатического узла$Химиотерапия опухолей$Дистанционная лучевая терапия$Измерение массы тела$Измерение роста$Определение окружности живота$Измерение объема лимфоузлов$Антропометрические исследования$Исследование зрительной функции у детей$Аудиометрия ребенку$Однофотонная эмиссионная компьютерная томография надпочечников$Постановка функционального диагноза$Сцинтиграфия головного мозга
C48.0,Консультация психотерапевта$Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Антропометрия с расчетом ИМТ$$Электрокардиография (ЭКГ)$Сцинтиграфия костей скелета$Рентгенография легких$МРТ головного мозга$Химиотерапия$Исследование мышц$Антропометрические исследования$Измерение массы тела$Измерение роста$Измерение объема лимфоузлов
C48.1,Консультация маммолога$$Консультация УЗИ-специалиста$Фибриноген крови$Раково-эмбриональный антиген (РЭА)$Индекс ROMA$HE4 (секреторный белок 4 эпидидимиса человека)$D-димер$Антропометрия с расчетом ИМТ$$УЗИ молочной железы$Термометрия$Маммография$МРТ органов малого таза$КТ почек$КТ органов малого таза$КТ легких$КТ брюшной полости$Диагностическая лапароскопия$Химиотерапия$Лечебная физкультура (ЛФК)$Лазеротерапия$Пальпация молочных желез$Измерение объема лимфоузлов$Антропометрические исследования$Онкологический скрининг для женщин
